company_key,company_name,company_disclosed,country_key
co-b5e5420f786fc671,Edenred,True,de
co-08c88902bfddc3b4,Ekkiden,True,de
co-f570fd75b7c90bad,Energieversorger für Ökostrom und Gas,True,de
co-a92aa32583215e58,Eucon,True,de
co-c8e1b8f02f751e54,Eurofins,True,de
co-981af74ad2a16a3b,FERCHAU GmbH,True,de
co-3694e0fb92a153ce,FERCHAU Management GmbH,True,de
co-cd5b428dfe5df6de,FIO Systems AG,True,de
co-2bde9230ebf08cad,FRIWO Gerätebau GmbH,True,de
co-e92c907f04e7d773,FUTRUE GmbH,True,de
co-52e05e943782a40b,FUX Solutions,True,de
co-38cb045d43d4739b,Factor Eleven,True,de
co-cc27c7a99498f8bb,Factor Eleven GmbH,True,de
co-40c738852975e696,Finanz Informatik,True,de
co-eec7ee1058455363,Finanz Informatik & Co. KG,True,de
co-c81b58871ee74d5b,Finanz Informatik GmbH & Co. KG,True,de
co-c92ef6d0eab65c37,FindYou Consulting GmbH,True,de
co-bb885b9f64338de1,FlexPeople® - Your Career Network,True,de
co-eaf4588550b317ba,FlexPeople® - Your Career Network UG,True,de
co-7eb96f3f79cbbb72,Flexit Consulting,True,de
co-c2e1b488e292f171,Flink,True,de
co-fd5fdaab60408081,Flix,True,de
co-852a26208e2fedf4,Fonds Finanz Maklerservice GmbH,True,de
co-6990d33cdb04967c,Forvis Mazars,True,de
co-947851b9d80b24c0,Freelance Partner,True,de
co-5430ab8f5452fbbc,Freenow,True,de
co-84cead4c33c776dc,Fresenius Kabi,True,de
co-97ce7a1f21e2b40e,Friedrichstadt-Palast Betriebsgesellschaft mbH,True,de
co-16ea28d94cbdb8cd,Funk - Internationaler Versicherungsmakler und Risk Consultant,True,de
co-620d71fe899ad554,Fusion Consulting,True,de
co-57e37d630ef1ee23,GATX Rail Germany GmbH,True,de
co-204e6e715095708c,GEA,True,de
co-7ca155ef83f5e715,GECAD GmbH,True,de
co-5cb280196d6184e1,GFN GmbH,True,de
co-90b643a195784315,GOB Software & Systeme GmbH & Co. KG,True,de
co-081ec19b12bfe6c1,GUS Germany GmbH,True,de
co-1174b0de7c7b909b,GastroHero GmbH,True,de
co-64320dbc3c6813ba,Gerresheimer,True,de
co-9673c4905b69a9a9,Global University Systems,True,de
co-5909e9fdfa07419a,Greystar Management Services,True,de
co-3c833a1de2b24ade,"Grifols Shared Services North America, Inc",True,de
co-3a3f412601174263,Grühn GmbH,True,de
co-171164318f3c6f0e,Guldberg,True,de
co-07b9eea03befb9b7,HANSAINVEST,True,de
co-46d3d2a2fcff92be,HCIE,True,de
co-e280f26b119c2884,HPM Service und Verwaltung GmbH,True,de
co-389e61d493b7493b,HR4YOU,True,de
co-c5493486f03aa473,HRlab,True,de
co-1808e3babbe261f7,Hackforth Holding & Co. KG,True,de
co-c1aceafc4fcdf330,Hackforth Holding GmbH & Co. KG,True,de
co-2945082a0a7ca7f6,Haema AG,True,de
co-92e46bf667bd7b25,Haema GmbH von ITmitte.de,True,de
co-cdf388aa0f3ad6e2,Halvotec GmbH,True,de
co-02deab989ab1885d,Hamburger Energienetze GmbH,True,de
co-25295c2ddcd2fb5d,Hays AG,True,de
co-053b0368296fed42,Hays – Working for your tomorrow,True,de
co-5508ba4493523a6f,Healthcare Deutschland GmbH,True,de
co-001333b85402514f,HiSolutions AG,True,de
co-c39e343fd555f458,Hilscher Gesellschaft für Systemautomation mbH,True,de
co-a516a6528fe43f2a,I. K. Hofmann,True,de
co-bbe140eb7481da42,ING,True,de
co-d6dd27a4ad70abcb,ING Deutschland,True,de
co-f52f30cb8b920386,ISR Information Products AG,True,de
co-8cf9fd3289b78ce8,Ibis Deutschland,True,de
co-8e5cdd3246bffb0f,Ibykus,True,de
co-6a73b8fd1aab5252,ImoGate,True,de
co-2ab70af356bb50b9,Instaffo GmbH,True,de
co-b91c53b21cf2f677,Interlloyd Versicherungs-AG,True,de
co-c67aa044b1738080,J. Rettenmaier & Söhne + Co KG,True,de
co-cb6692c6a3e7c26a,JD.COM,True,de
co-9b1cafc35d30a8d3,JRWG CoachConsult GmbH,True,de
co-deffd712d46fcccd,JTL-Software-GmbH,True,de
co-ade88ca4a13e130d,JUMO GmbH & Co. KG,True,de
co-ceb760c0accf6696,Jack Link's Protein Snacks,True,de
co-9958f40770fe6891,Janitza Electronics GmbH,True,de
co-463cbed435bd296c,Jobgether,True,de
co-6eda5d528098e80b,Johannesstift Diakonie Services,True,de
co-6949e37ee7abaadf,John Deere,True,de
co-a7480272168db2b8,Joybuy,True,de
co-f224a753ceef95ef,Julius Blum GmbH,True,de
co-2b0b24e63e910496,Just Eat Takeaway.com,True,de
co-03baee4a119bbe2a,KFW Konzern,True,de
co-368df9edc73844e6,KIND & Co. KG,True,de
co-9bf5a518d3c422f7,KIND GmbH & Co. KG,True,de
co-5451b26d0075e282,KNDS,True,de
co-893fcb7d8db12d73,KNDS Deutschland,True,de
co-469af5341260f3a6,KPMG,True,de
co-670441b47437e01b,KPMG AG Wirtschaftsprüfungsgesellschaft,True,de
co-45e59c28fecc3685,Kassenärztliche Vereinigung Berlin,True,de
co-ff7f3ecc2b992da3,Kleinanzeigen.de,True,de
co-edf16f2c597f5f76,Kolibri Games,True,de
