job_key,snapshot_date_key,country_key,role_key,search_term,query_page,query_result_position,estimated_job_count
ch-5860025567,20260903,ch,BA,business analyst,2,51,193
ch-5860025591,20260903,ch,BA,business analyst,2,52,193
ch-5860025604,20260903,ch,DA,data analyst,1,7,34
ch-5860952832,20260903,ch,BA,business analyst,1,50,193
ch-5860954532,20260903,ch,BA,business analyst,1,49,193
ch-5860954677,20260903,ch,BA,business analyst,1,48,193
ch-5860954687,20260903,ch,BA,business analyst,1,47,193
ch-5860955203,20260903,ch,BA,business analyst,1,46,193
ch-5861035230,20260903,ch,BA,business analyst,1,45,193
ch-5861038915,20260903,ch,DA,data analyst,1,6,34
ch-5861621182,20260903,ch,DA,data analyst,1,5,34
ch-5861621342,20260903,ch,BA,business analyst,1,44,193
ch-5862206206,20260903,ch,BA,business analyst,1,43,193
ch-5862206270,20260903,ch,DA,data analyst,1,4,34
ch-5862206634,20260903,ch,BA,business analyst,1,42,193
ch-5862212824,20260903,ch,BI,BI analyst,1,1,3
ch-5862212824,20260903,ch,BA,business analyst,1,41,193
ch-5862876803,20260903,ch,BA,business analyst,1,40,193
ch-5862909113,20260903,ch,BA,business analyst,1,39,193
ch-5862911922,20260903,ch,BA,business analyst,1,38,193
ch-5862915600,20260903,ch,BA,business analyst,1,37,193
ch-5863094617,20260903,ch,DA,data analyst,1,3,34
ch-5863591024,20260903,ch,BA,business analyst,1,36,193
ch-5863591272,20260903,ch,BA,business analyst,1,35,193
ch-5864095581,20260903,ch,BA,business analyst,1,34,193
ch-5864313658,20260903,ch,BA,business analyst,1,33,193
ch-5864313785,20260903,ch,BA,business analyst,1,32,193
ch-5864317496,20260903,ch,BA,business analyst,1,31,193
ch-5864318861,20260903,ch,DA,data analyst,1,2,34
ch-5864319035,20260903,ch,BA,business analyst,1,30,193
ch-5864320396,20260903,ch,BA,business analyst,1,29,193
ch-5864321835,20260903,ch,BA,business analyst,1,28,193
ch-5864521373,20260903,ch,BA,business analyst,1,27,193
ch-5865208172,20260903,ch,BA,business analyst,1,26,193
ch-5865238768,20260903,ch,BA,business analyst,1,25,193
ch-5866723075,20260903,ch,BA,business analyst,1,24,193
ch-5866773861,20260903,ch,BA,business analyst,1,23,193
ch-5866880941,20260903,ch,BA,business analyst,1,22,193
ch-5866881818,20260903,ch,BA,business analyst,1,21,193
ch-5866881961,20260903,ch,BA,business analyst,1,20,193
ch-5866882433,20260903,ch,BA,business analyst,1,19,193
ch-5866883860,20260903,ch,BA,business analyst,1,18,193
ch-5866885100,20260903,ch,BA,business analyst,1,17,193
ch-5866888539,20260903,ch,BA,business analyst,1,16,193
ch-5866891317,20260903,ch,DA,data analyst,1,1,34
ch-5866892510,20260903,ch,BA,business analyst,1,15,193
ch-5866893383,20260903,ch,BA,business analyst,1,14,193
ch-5867052084,20260903,ch,BA,business analyst,1,13,193
ch-5867052309,20260903,ch,BA,business analyst,1,12,193
ch-5867053397,20260903,ch,BA,business analyst,1,11,193
ch-5867073192,20260903,ch,BA,business analyst,1,10,193
ch-5867073213,20260903,ch,BA,business analyst,1,9,193
ch-5867074233,20260903,ch,BA,business analyst,1,8,193
ch-5867075609,20260903,ch,BA,business analyst,1,7,193
ch-5867084032,20260903,ch,BA,business analyst,1,6,193
ch-5867085074,20260903,ch,BA,business analyst,1,5,193
ch-5867624725,20260903,ch,BA,business analyst,1,4,193
ch-5868666197,20260903,ch,BA,business analyst,1,3,193
ch-5868668405,20260903,ch,BA,business analyst,1,2,193
ch-5868668610,20260903,ch,BA,business analyst,1,1,193
de-5485143529,20260903,de,DA,datenanalyst,1,25,25
de-5622127807,20260903,de,DA,datenanalyst,1,24,25
de-5632671837,20260903,de,DA,datenanalyst,1,23,25
de-5727102241,20260903,de,BI,business intelligence analyst,1,14,14
de-5727297937,20260903,de,BI,BI analyst,1,19,19
de-5746660312,20260903,de,BI,business intelligence analyst,1,13,14
de-5751150763,20260903,de,BI,BI analyst,1,18,19
de-5767410711,20260903,de,DA,data analyst,5,250,306
de-5770486747,20260903,de,DA,data analyst,5,249,306
de-5771981727,20260903,de,DA,data analyst,5,248,306
de-5774396511,20260903,de,BI,BI analyst,1,17,19
de-5775234210,20260903,de,DA,data analyst,5,247,306
de-5780538507,20260903,de,DA,data analyst,5,246,306
de-5780558194,20260903,de,DA,data analyst,5,245,306
de-5780991585,20260903,de,DA,data analyst,5,244,306
de-5782547945,20260903,de,DA,data analyst,5,243,306
de-5784282088,20260903,de,DA,data analyst,5,242,306
de-5786675236,20260903,de,DA,data analyst,5,241,306
de-5786675237,20260903,de,DA,data analyst,5,240,306
de-5786679727,20260903,de,DA,data analyst,5,239,306
de-5787325956,20260903,de,DA,datenanalyst,1,22,25
de-5787618351,20260903,de,DA,data analyst,5,238,306
